date,open,high,close,low,volume
2012-03-08,2612.403,2645.953,2635.791,2612.403,5754941300.0
2012-03-09,2644.1,2664.414,2664.302,2631.406,5525892100.0
2012-03-12,2663.243,2666.432,2654.402,2636.423,6232721600.0
2012-03-13,2653.681,2681.334,2681.073,2649.169,5840446900.0
2012-03-14,2694.475,2705.754,2605.106,2595.342,10842654000.0
2012-03-15,2602.661,2618.252,2585.546,2575.437,7256596000.0
2012-03-16,2591.8,2624.316,2623.52,2577.245,5809125900.0
2012-03-19,2617.662,2631.045,2630.013,2598.63,5764662500.0
2012-03-20,2622.66,2622.66,2584.445,2584.024,5811406500.0
2012-03-21,2597.375,2613.269,2587.793,2569.075,5800254400.0
2012-03-22,2586.938,2599.244,2583.747,2570.446,4492677700.0
2012-03-23,2575.327,2578.825,2552.94,2544.525,4332925600.0
2012-03-26,2551.425,2562.929,2555.442,2540.696,3181621100.0
2012-03-27,2565.551,2571.899,2547.143,2544.373,3594460400.0
2012-03-28,2538.458,2540.417,2474.9,2471.034,5000579000.0
2012-03-29,2463.688,2476.478,2443.122,2429.732,4613130400.0
2012-03-30,2447.939,2461.977,2454.899,2438.488,3702708600.0
2012-04-05,2449.208,2517.386,2512.832,2441.269,5433168700.0
2012-04-06,2509.445,2525.534,2519.83,2502.703,4236857600.0
2012-04-09,2510.533,2518.378,2495.146,2491.592,3537098600.0
2012-04-10,2490.283,2519.812,2519.788,2459.348,4133590500.0
2012-04-11,2494.517,2541.126,2520.036,2489.325,4251031000.0
2012-04-12,2522.828,2570.842,2570.436,2516.568,5648840900.0
2012-04-13,2575.052,2593.788,2580.454,2570.035,5309264300.0
2012-04-16,2564.231,2586.198,2574.044,2559.781,4083970000.0
2012-04-17,2572.364,2578.76,2541.883,2541.535,3781546700.0
2012-04-18,2550.905,2602.106,2599.908,2545.996,5868840800.0
2012-04-19,2598.329,2606.86,2596.056,2585.301,4644810900.0
2012-04-20,2591.51,2627.375,2626.839,2589.351,6144637900.0
2012-04-23,2624.751,2632.092,2606.038,2599.112,5866493800.0
2012-04-24,2594.801,2640.295,2604.866,2559.464,7113955800.0
2012-04-25,2598.228,2631.438,2625.99,2593.327,6246805300.0
2012-04-26,2632.718,2643.768,2631.487,2617.089,5896566700.0
2012-04-27,2630.549,2637.918,2626.157,2623.598,4823358600.0
2012-05-02,2660.673,2697.949,2683.487,2643.527,8014865400.0
2012-05-03,2679.517,2693.88,2691.518,2675.811,5936109000.0
2012-05-04,2689.624,2716.033,2715.879,2677.14,6321808600.0
2012-05-07,2699.447,2717.778,2717.778,2694.321,6854731400.0
2012-05-08,2717.408,2717.825,2709.116,2683.562,6311084000.0
2012-05-09,2685.187,2685.187,2657.514,2655.322,5840028300.0
2012-05-10,2657.87,2667.675,2657.214,2649.38,4696257600.0
2012-05-11,2652.313,2666.566,2636.917,2636.523,4100614300.0
2012-05-14,2653.806,2656.284,2615.534,2613.349,5208248400.0
2012-05-15,2597.644,2618.175,2617.374,2591.598,4576727100.0
2012-05-16,2610.161,2612.625,2574.647,2574.082,4328027400.0
2012-05-17,2577.961,2619.589,2613.942,2571.201,4372838900.0
2012-05-18,2595.547,2603.191,2573.976,2567.302,4342212400.0
2012-05-21,2572.369,2604.219,2587.231,2563.973,3860209000.0
2012-05-22,2598.167,2627.602,2627.525,2597.603,4277352900.0
2012-05-23,2621.786,2635.78,2616.869,2598.29,4371953100.0
2012-05-24,2613.095,2630.414,2595.26,2588.209,4284406600.0
2012-05-25,2595.261,2602.17,2573.103,2565.647,3927300400.0
2012-05-28,2562.596,2614.849,2614.689,2545.336,5633927500.0
2012-05-29,2615.145,2658.255,2650.854,2612.564,7213563700.0
2012-05-30,2646.37,2655.163,2642.258,2636.518,5185543600.0
2012-05-31,2623.158,2645.591,2632.042,2617.228,4410746900.0
2012-06-01,2633.601,2653.857,2632.998,2623.289,4419105600.0
2012-06-04,2598.733,2608.316,2559.026,2558.92,5247850200.0
2012-06-05,2565.186,2573.887,2558.842,2548.76,3777991000.0
2012-06-06,2564.226,2573.739,2557.401,2547.334,3385769400.0
2012-06-07,2579.425,2584.039,2542.184,2536.258,3484118600.0
2012-06-08,2558.843,2559.128,2524.329,2520.409,4385642600.0
2012-06-11,2529.599,2565.429,2558.265,2523.774,4009826000.0
2012-06-12,2543.765,2553.915,2540.178,2529.951,3793667600.0
2012-06-13,2546.791,2581.115,2580.636,2539.632,4501456800.0
2012-06-14,2573.329,2584.709,2560.421,2558.565,4024793400.0
2012-06-15,2565.189,2580.17,2568.054,2538.572,4278607800.0
2012-06-18,2576.629,2593.218,2581.212,2572.987,3569362800.0
2012-06-19,2577.362,2577.362,2558.621,2556.103,3270055300.0
2012-06-20,2563.643,2570.663,2552.611,2549.438,2985063900.0
2012-06-21,2547.048,2547.048,2512.185,2502.419,3539673200.0
2012-06-25,2501.163,2501.163,2456.518,2455.008,4010673500.0
2012-06-26,2442.562,2465.12,2454.915,2434.64,3173400800.0
2012-06-27,2452.666,2470.762,2447.195,2444.343,3000755300.0
2012-06-28,2451.664,2459.189,2425.729,2425.24,3054311300.0
2012-06-29,2418.862,2462.815,2461.612,2417.486,3799494100.0
2012-07-02,2473.545,2473.966,2465.238,2452.986,4051007800.0
2012-07-03,2464.85,2490.547,2468.721,2457.449,3869335400.0
2012-07-04,2474.527,2481.336,2464.919,2455.995,3445214200.0
2012-07-05,2450.3,2450.3,2430.37,2420.001,3472614500.0
2012-07-06,2435.059,2477.231,2472.614,2420.356,4961060500.0
2012-07-09,2455.892,2470.205,2416.036,2414.953,4922330200.0
